Target, #TripleInThatClass, TimeSinceStartOfVerification(ms)
violated, 5554, 5224
violated, 1396, 5168
violated, 6456, 5233
violated, 4668, 5202
violated, 3838, 5196
violated, 7851, 5243
violated, 2840, 5189
violated, 2578, 5187
violated, 2638, 5188
violated, 2692, 5188
violated, 9395, 5270
violated, 6567, 5234
violated, 845, 5149
violated, 1716, 5178
violated, 7934, 5244
violated, 848, 5149
violated, 3628, 5195
violated, 5366, 5222
violated, 1812, 5179
violated, 5705, 5226
violated, 3460, 5194
violated, 4191, 5199
violated, 6273, 5232
violated, 9319, 5254
violated, 5313, 5207
violated, 6708, 5235
violated, 33, 5144
violated, 3360, 5193
violated, 8900, 5251
violated, 8019, 5245
violated, 7485, 5241
violated, 8563, 5248
violated, 3452, 5194
violated, 6704, 5235
violated, 7905, 5244
violated, 7057, 5238
violated, 6494, 5234
violated, 9056, 5252
violated, 4939, 5204
violated, 2316, 5184
violated, 4430, 5201
violated, 1762, 5178
violated, 1122, 5151
violated, 7177, 5239
violated, 4393, 5200
violated, 72, 5144
violated, 4747, 5203
violated, 1071, 5151
violated, 8212, 5246
violated, 9349, 5269
violated, 8207, 5246
violated, 592, 5148
violated, 7653, 5242
violated, 9574, 5271
violated, 6641, 5235
violated, 6569, 5234
violated, 3675, 5195
violated, 7763, 5243
violated, 5443, 5223
violated, 4036, 5198
violated, 9728, 5273
violated, 5524, 5224
violated, 7828, 5243
violated, 8593, 5249
violated, 3367, 5193
violated, 2301, 5184
violated, 1407, 5168
violated, 1694, 5178
violated, 178, 5145
violated, 4362, 5200
violated, 3320, 5193
violated, 2467, 5186
violated, 5007, 5205
violated, 9647, 5272
violated, 127, 5145
violated, 3868, 5197
violated, 9890, 5538
violated, 9641, 5272
violated, 8022, 5245
violated, 2168, 5183
violated, 5906, 5228
violated, 2780, 5189
violated, 3725, 5196
violated, 4610, 5202
violated, 6726, 5235
violated, 9089, 5252
violated, 1741, 5178
violated, 8461, 5248
violated, 8622, 5249
violated, 6925, 5237
violated, 8983, 5251
violated, 8186, 5246
violated, 3175, 5192
violated, 4012, 5198
violated, 443, 5147
violated, 566, 5148
violated, 262, 5146
violated, 4045, 5198
violated, 1602, 5177
violated, 881, 5150
violated, 9322, 5254
violated, 8023, 5245
violated, 4442, 5201
violated, 2884, 5190
violated, 2170, 5183
violated, 777, 5149
violated, 1417, 5168
violated, 5026, 5205
violated, 5923, 5228
violated, 6678, 5235
violated, 7844, 5243
violated, 8984, 5251
violated, 96, 5144
violated, 8660, 5249
violated, 5570, 5224
violated, 4177, 5199
violated, 2885, 5190
violated, 6387, 5233
violated, 5311, 5207
violated, 6111, 5230
violated, 6481, 5234
violated, 2427, 5185
violated, 4952, 5204
violated, 4270, 5199
violated, 4635, 5202
violated, 7804, 5243
violated, 7980, 5244
violated, 3756, 5196
violated, 4716, 5203
violated, 8033, 5245
violated, 1582, 5176
violated, 1501, 5176
violated, 3739, 5196
violated, 966, 5150
violated, 7011, 5237
violated, 6606, 5234
violated, 2280, 5184
violated, 3990, 5198
violated, 7360, 5240
violated, 8397, 5247
violated, 5545, 5224
violated, 7575, 5241
violated, 5256, 5207
violated, 5058, 5205
violated, 4501, 5201
violated, 7092, 5238
valid, 9791, 5458
violated, 5563, 5224
violated, 192, 5145
violated, 2812, 5189
violated, 6959, 5237
violated, 7683, 5242
violated, 4305, 5200
violated, 7794, 5243
violated, 623, 5148
violated, 2953, 5190
violated, 7632, 5242
violated, 7682, 5242
violated, 7793, 5243
